DEDICATION TO THE ENGLISH NATION.txt /Users/Sean/Documents/College/Research/Thomas Paine/Test Files/Junius/DEDICATION TO THE ENGLISH NATION.txt
Canonicizers: none
EventDriver: Vowel-initial Words 
Analysis: WEKA Multilayer Perceptron 
15. Benezet 0.0014520496051909908
16. Wollstonecraft 0.0011858352634343307
17. Woolman 8.494129524151059E-4
18. Burgh 6.165973666457745E-4
19. Burke 3.227718123708958E-4
20. Price 1.763311941618927E-4
21. Franklin 1.6688155172846775E-4
22. Paine 1.1980732759844258E-4
23. Dickinson 1.9435205208405887E-5
24. Hopkins 1.61051853805854E-5
25. Cassandra 1.58450956681333E-5
26. Hopkinson 1.2696455568205972E-5
27. Jefferson 3.3572056346586754E-6


Letter XIX.txt /Users/Sean/Documents/College/Research/Thomas Paine/Test Files/Junius/Letter XIX.txt
Canonicizers: none
EventDriver: Vowel-initial Words 
Analysis: WEKA Multilayer Perceptron 
1. Priestley 0.6481818471661602
2. Burke 0.27090443650480733
3. Mackintosh 0.02554581267220753
4. Dickinson 0.023270615724040405
5. Cartwright 0.01948124831781716
6. Burgh 0.004428375735524699
7. Price 0.003422735451056969
8. Lafayette 8.111387108678479E-4
9. Franklin 8.065903408902241E-4
10. Rush 6.217193319694535E-4
11. Witherspoon 2.3829425041996892E-4
12. Wilkes 2.112143915996689E-4
13. Moore 2.027459476081107E-4
14. Francis 1.599512969873103E-4
15. Adams 1.1349210197327682E-4
16. Wesley 3.3596166326213715E-5
17. Wollstonecraft 2.0303781982220322E-5
18. Cassandra 1.704382699335039E-5
19. Macauley 9.195369170331546E-6
20. Ogilvie 5.96472770944966E-6
21. Hopkins 2.1471946308992823E-6
22. Hopkinson 1.936175056213338E-6
23. Woolman 1.1725157150046546E-6
24. Paine 7.153460422769276E-7
25. Benezet 1.6012125752308473E-7
26. Spence 8.556368583840443E-8
27. Jefferson 3.812105433583814E-8


Letter XVI.txt /Users/Sean/Documents/College/Research/Thomas Paine/Test Files/Junius/Letter XVI.txt
Canonicizers: none
EventDriver: Vowel-initial Words 
Analysis: WEKA Multilayer Perceptron 
1. Burke 0.507254643723469
2. Priestley 0.4413612048797653
3. Dickinson 0.03339996431111388
4. Price 0.011265972133284624
5. Witherspoon 0.0014884881142899523
6. Adams 0.0014247646531560158
7. Franklin 0.0011912522396014492
8. Cartwright 3.1711882785348517E-4
9. Mackintosh 2.8096195785722153E-4
10. Francis 1.9135469524805514E-4
11. Wesley 1.565396544644048E-4
12. Burgh 1.1652061533746923E-4
13. Ogilvie 8.120897478345712E-5
14. Lafayette 8.05016397827842E-5
15. Hopkins 7.988786786984165E-5
16. Rush 5.535015376226715E-5
17. Woolman 4.659868915127667E-5
18. Benezet 1.4066305391139452E-5
19. Hopkinson 1.242402585291581E-5
20. Moore 3.662483541581816E-6
21. Paine 3.0902129380034718E-6
22. Wilkes 2.254473531336018E-6
23. Cassandra 1.4030704765336123E-6
24. Jefferson 6.527675771903543E-7
25. Wollstonecraft 5.247289773369481E-7
26. Macauley 3.773119626651099E-7
27. Spence 1.810553199360971E-7


Letters XVII and XVIII.txt /Users/Sean/Documents/College/Research/Thomas Paine/Test Files/Junius/Letters XVII and XVIII.txt
Canonicizers: none
EventDriver: Vowel-initial Words 
Analysis: WEKA Multilayer Perceptron 
1. Priestley 0.8780318330364641
2. Burke 0.05159761112671532
3. Witherspoon 0.031259920313710506
4. Cartwright 0.014494715241344153
5. Wesley 0.012731967942248726
6. Moore 0.0068927192413690466
7. Dickinson 8.158195230194066E-4
8. Rush 6.157183399351855E-4
9. Wilkes 3.849806026459656E-4
10. Price 2.539534519388795E-4
11. Spence 2.2134525725305164E-4
12. Ogilvie 2.2130139531266577E-4
13. Lafayette 1.723621194386607E-4
14. Hopkins 1.499343135193049E-4
15. Mackintosh 1.3476066589213157E-4
16. Benezet 1.1990314858247339E-4
17. Francis 1.1737267186817203E-4
18. Burgh 1.1032225070005473E-4
19. Adams 6.101791757185457E-5
20. Woolman 2.1302114659185494E-5
21. Macauley 5.637834162083468E-6
22. Franklin 4.891952921352331E-6
23. Hopkinson 4.727947446007536E-6
24. Wollstonecraft 1.8036618719791265E-6
25. Cassandra 9.711623595980193E-7
26. Paine 4.800506816651882E-7
27. Jefferson 9.724428420271822E-9


Letters XX and XXI.txt /Users/Sean/Documents/College/Research/Thomas Paine/Test Files/Junius/Letters XX and XXI.txt
Canonicizers: none
