DEDICATION TO THE ENGLISH NATION.txt /Users/Sean/Documents/College/Research/Thomas Paine/Test Files/Junius/DEDICATION TO THE ENGLISH NATION.txt
Canonicizers: none
EventDriver: Vowel-initial Words 
Analysis: WEKA SMO r : Polynomial, c : 1, e : 1, f : false, v : -1, g : 0.01, n : normalize, o : false 
Letter XIV and XV.txt /Users/Sean/Documents/College/Research/Thomas Paine/Test Files/Junius/Letter XIV and XV.txt
Canonicizers: none
EventDriver: Vowel-initial Words 
Analysis: WEKA SMO r : Polynomial, c : 1, e : 1, f : false, v : -1, g : 0.01, n : normalize, o : false 
1. Wilkes 0.06878306878306878
1. Burke 0.06878306878306878
3. Hopkinson 0.06349206349206349
4. Benezet 0.06084656084656084
4. Cartwright 0.06084656084656084
6. Paine 0.0582010582010582
6. Macauley 0.0582010582010582
8. Spence 0.05555555555555555
9. Witherspoon 0.047619047619047616
9. Moore 0.047619047619047616
11. Ogilvie 0.04497354497354497
11. Priestley 0.04497354497354497
13. Adams 0.042328042328042326
14. Burgh 0.03439153439153439
15. Mackintosh 0.031746031746031744
15. Francis 0.031746031746031744
17. Franklin 0.0291005291005291
18. Rush 0.023809523809523808
18. Wesley 0.023809523809523808
20. Lafayette 0.021164021164021163
21. Wollstonecraft 0.018518518518518517
21. Jefferson 0.018518518518518517
23. Price 0.015873015873015872
24. Dickinson 0.013227513227513227
25. Cassandra 0.007936507936507936
26. Hopkins 0.005291005291005291
27. Woolman 0.0026455026455026454


Letter XIX.txt /Users/Sean/Documents/College/Research/Thomas Paine/Test Files/Junius/Letter XIX.txt
Canonicizers: none
EventDriver: Vowel-initial Words 
Analysis: WEKA SMO r : Polynomial, c : 1, e : 1, f : false, v : -1, g : 0.01, n : normalize, o : false 
1. Burgh 0.06878306878306878
1. Dickinson 0.06878306878306878
3. Burke 0.06613756613756613
4. Price 0.06084656084656084
4. Cartwright 0.06084656084656084
6. Lafayette 0.05555555555555555
6. Priestley 0.05555555555555555
6. Mackintosh 0.05555555555555555
9. Witherspoon 0.05026455026455026
10. Paine 0.047619047619047616
11. Hopkinson 0.042328042328042326
12. Wilkes 0.03968253968253968
12. Adams 0.03968253968253968
12. Franklin 0.03968253968253968
15. Macauley 0.037037037037037035
16. Wesley 0.031746031746031744
17. Moore 0.026455026455026454
18. Benezet 0.023809523809523808
18. Jefferson 0.023809523809523808
18. Rush 0.023809523809523808
18. Francis 0.023809523809523808
22. Ogilvie 0.013227513227513227
22. Cassandra 0.013227513227513227
24. Spence 0.010582010582010581
24. Hopkins 0.010582010582010581
26. Wollstonecraft 0.007936507936507936
27. Woolman 0.0026455026455026454


Letter XVI.txt /Users/Sean/Documents/College/Research/Thomas Paine/Test Files/Junius/Letter XVI.txt
Canonicizers: none
EventDriver: Vowel-initial Words 
Analysis: WEKA SMO r : Polynomial, c : 1, e : 1, f : false, v : -1, g : 0.01, n : normalize, o : false 
1. Priestley 0.07142857142857142
2. Burke 0.06613756613756613
3. Adams 0.06349206349206349
3. Witherspoon 0.06349206349206349
5. Hopkinson 0.0582010582010582
6. Dickinson 0.05555555555555555
7. Paine 0.05291005291005291
7. Price 0.05291005291005291
7. Cartwright 0.05291005291005291
7. Franklin 0.05291005291005291
11. Francis 0.042328042328042326
12. Benezet 0.03968253968253968
12. Jefferson 0.03968253968253968
14. Burgh 0.037037037037037035
15. Wilkes 0.03439153439153439
15. Wesley 0.03439153439153439
17. Rush 0.0291005291005291
18. Moore 0.026455026455026454
19. Lafayette 0.023809523809523808
19. Ogilvie 0.023809523809523808
21. Mackintosh 0.021164021164021163
22. Woolman 0.013227513227513227
22. Cassandra 0.013227513227513227
24. Wollstonecraft 0.010582010582010581
24. Macauley 0.010582010582010581
26. Hopkins 0.007936507936507936
27. Spence 0.0026455026455026454


Letters XVII and XVIII.txt /Users/Sean/Documents/College/Research/Thomas Paine/Test Files/Junius/Letters XVII and XVIII.txt
Canonicizers: none
EventDriver: Vowel-initial Words 
Analysis: WEKA SMO r : Polynomial, c : 1, e : 1, f : false, v : -1, g : 0.01, n : normalize, o : false 
1. Priestley 0.07142857142857142
2. Burke 0.06878306878306878
3. Witherspoon 0.06613756613756613
4. Cartwright 0.06084656084656084
5. Moore 0.0582010582010582
5. Wesley 0.0582010582010582
7. Dickinson 0.05026455026455026
8. Paine 0.047619047619047616
8. Burgh 0.047619047619047616
8. Hopkinson 0.047619047619047616
11. Adams 0.04497354497354497
11. Franklin 0.04497354497354497
13. Wilkes 0.042328042328042326
14. Benezet 0.03968253968253968
15. Francis 0.037037037037037035
16. Price 0.03439153439153439
17. Hopkins 0.0291005291005291
18. Spence 0.026455026455026454
18. Lafayette 0.026455026455026454
20. Jefferson 0.018518518518518517
21. Wollstonecraft 0.015873015873015872
21. Mackintosh 0.015873015873015872
23. Rush 0.013227513227513227
23. Cassandra 0.013227513227513227
25. Macauley 0.010582010582010581
26. Ogilvie 0.007936507936507936
27. Woolman 0.0026455026455026454


Letters XX and XXI.txt /Users/Sean/Documents/College/Research/Thomas Paine/Test Files/Junius/Letters XX and XXI.txt
Canonicizers: none
EventDriver: Vowel-initial Words 
Analysis: WEKA SMO r : Polynomial, c : 1, e : 1, f : false, v : -1, g : 0.01, n : normalize, o : false 
1. Priestley 0.07142857142857142
2. Burke 0.06613756613756613
3. Dickinson 0.06349206349206349
4. Witherspoon 0.06084656084656084
4. Cartwright 0.06084656084656084
6. Benezet 0.0582010582010582
6. Adams 0.0582010582010582
6. Franklin 0.0582010582010582
9. Burgh 0.05026455026455026
10. Hopkinson 0.04497354497354497
11. Paine 0.042328042328042326
11. Wilkes 0.042328042328042326
11. Francis 0.042328042328042326
14. Rush 0.03439153439153439
15. Price 0.031746031746031744
15. Moore 0.031746031746031744
17. Wollstonecraft 0.0291005291005291
17. Lafayette 0.0291005291005291
17. Wesley 0.0291005291005291
20. Jefferson 0.021164021164021163
21. Hopkins 0.018518518518518517
22. Spence 0.015873015873015872
23. Cassandra 0.013227513227513227
24. Macauley 0.010582010582010581
25. Ogilvie 0.007936507936507936
26. Mackintosh 0.005291005291005291
27. Woolman 0.0026455026455026454


