DEDICATION TO THE ENGLISH NATION.txt /Users/Sean/Documents/College/Research/Thomas Paine/Test Files/Junius/DEDICATION TO THE ENGLISH NATION.txt
Canonicizers: none
EventDriver: Lexical Frequencies 
Analysis: WEKA Multilayer Perceptron 
20. Jefferson 7.41005090913702E-6
21. Wesley 1.576359310435603E-6
22. Benezet 1.018895619849823E-6
23. Hopkins 3.1255611579482536E-7
24. Dickinson 1.357311023484803E-7
25. Hopkinson 5.444675521518262E-8
26. Cassandra 7.529702701715098E-9
27. Woolman 7.138516411570312E-9


Letter XVI.txt /Users/Sean/Documents/College/Research/Thomas Paine/Test Files/Junius/Letter XVI.txt
Canonicizers: none
EventDriver: Lexical Frequencies 
Analysis: WEKA Multilayer Perceptron 
1. Priestley 0.684110162212198
2. Mackintosh 0.1703557350054057
3. Price 0.11284091650129857
4. Burgh 0.017774153045607234
5. Witherspoon 0.0071172793019253534
6. Jefferson 0.001971927716047826
7. Burke 0.0018440157322852906
8. Ogilvie 9.70286996738256E-4
9. Adams 8.060774409852921E-4
10. Rush 2.58466378846693E-4
11. Franklin 2.1216180621128641E-4
12. Francis 8.044141421318007E-5
13. Spence 7.762096942746577E-5
14. Paine 7.370200992158158E-5
15. Dickinson 7.077681685033396E-5
16. Hopkins 6.492662095161898E-5
17. Wesley 6.012077704402754E-5
18. Lafayette 5.4126420877606844E-5
19. Wollstonecraft 3.493784665669936E-5
20. Wilkes 2.092701143036421E-5
21. Benezet 2.0079210307080624E-5
22. Cartwright 1.5093930290444143E-5
23. Moore 5.428099763301938E-6
24. Macauley 1.4698717758497525E-6
25. Cassandra 3.563476599374681E-8
26. Hopkinson 3.2097780581002315E-8
27. Woolman 1.70545145122737E-8


Letters XVII and XVIII.txt /Users/Sean/Documents/College/Research/Thomas Paine/Test Files/Junius/Letters XVII and XVIII.txt
Canonicizers: none
EventDriver: Lexical Frequencies 
Analysis: WEKA Multilayer Perceptron 
1. Burgh 0.5656468273869975
2. Adams 0.3305026754573354
3. Priestley 0.07503286938164318
4. Mackintosh 0.01948683557959539
5. Paine 0.004537092226905843
6. Burke 0.0012904731622871103
7. Rush 7.728167421903135E-4
8. Moore 7.461942461253573E-4
9. Francis 2.9177755089672023E-4
10. Witherspoon 2.453489581150882E-4
11. Spence 1.7601571581980058E-4
12. Price 1.511491571583778E-4
13. Wesley 1.3504802203374047E-4
14. Wilkes 4.081777213938413E-5
15. Wollstonecraft 3.9602573369717635E-5
16. Ogilvie 2.901600941120785E-5
17. Lafayette 1.588281037002074E-5
18. Hopkins 1.3148131261287784E-5
19. Macauley 7.531561555885046E-6
20. Franklin 5.7988133510258295E-6
21. Cartwright 1.4719421588082993E-6
22. Benezet 7.62430070778667E-7
23. Cassandra 6.326749410603518E-7
24. Hopkinson 3.506753176313099E-7
25. Jefferson 2.735068336983659E-7
26. Woolman 1.9146185269686507E-8
27. Dickinson 1.0597529718238779E-8


Letters XX and XXI.txt /Users/Sean/Documents/College/Research/Thomas Paine/Test Files/Junius/Letters XX and XXI.txt
Canonicizers: none
EventDriver: Lexical Frequencies 
Analysis: WEKA Multilayer Perceptron 
1. Priestley 0.8382687841453629
2. Burke 0.05850666435469555
3. Witherspoon 0.057739460562028326
4. Rush 0.03329244073032844
5. Price 0.004340174514388727
6. Burgh 0.0035070016346575063
7. Wesley 5.370693036183404E-4
8. Benezet 5.240386016781436E-4
9. Mackintosh 5.087722041886175E-4
10. Francis 3.343115501883538E-4
